BOM,Ind Model,HQ Model,Ind ODF,HQ ODF,Project ID,Software Version,Panel,MB,Chassis,PSU,RC,MODULE Panel,（L)/LB,（R)/LB,WIFI BOARD,BLUEE TOOTH,TOP Panel SPONGE STRIPE,L&R Panel SPONGE STRIPE,"
DR",CAMERA(ON TOP EPS),LVDS CABLE-L,LVDS CABLE-R,FFC CABLE(L&R),Stand Base-L,Stand Base-R,Package,增亮片(BRIGHTENER),增亮片(BRIGHTENER),反射片,
H7-40F6000-LPM001L,L40S6800,40S6800,ALW147331L,GLW147331L,NO,,4A-LD40O5-CM3GTA,,RT41KT-AP,,,08-40F6000-LPM001L,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-40F60LF-IDNE3AA,L40S6800,40S6800,ALW147332L,GLW147332L,V6-PROJECT-ID009,,4A-LD40O5-CM3GTA,08-RT41K12-MA200AA,RT41KT-AP,NO,06-IRPT45-URC802N,08-40F6000-LPM001L,4C-LB4010-HR01J,NO,07-8192BT-MA1G,NO,NO,NO,NO,NO,46-YL431A1-51DX1G,NO,NO,,,,,,,
H7-40F6000-LPM001L,L40S6800,40S6800,ALW147331M,GLW147331M,NO,,4A-LD40O5-CM3GTA,,RT41KT-AP,,,08-40F6000-LPM001L,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-40F60LF-IDNE3AA,L40S6800,40S6800,ALW147332M,GLW147332M,V6-PROJECT-ID009,,4A-LD40O5-CM3GTA,08-RT41K12-MA200AA,RT41KT-AP,NO,06-IRPT45-URC802N,08-40F6000-LPM001L,4C-LB4010-HR01J,NO,07-8192BT-MA1G,NO,NO,NO,NO,NO,46-YL431A1-51DX1G,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW147232A,GLW147232A,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB320T-HR9C,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-50D6000-LPM003C,50P8M,50P8M,ALW147331D,GLW147331D,NO,,4A-LD50O5-CH2GTA,,RT51HT-AP,,,08-50D6000-LPM003C,4C-LB5007-ZM02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-50D60NB-IDND1AA,50P8M,50P8M,ALW147332D,GLW147332D,V6-PROJECT-ID133,,4A-LD50O5-CH2GTA,08-RT51H03-MA200AA,RT51HT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-50D6000-LPM003C,4C-LB5007-ZM02J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV410E1-51DX1G,NO,46-YM060B1-80WX0G,,,,,,,
H7-55D6000-LPM001A,55P8M,55P8M,ALW147331F,GLW147331F,NO,,4A-LD55O5-CSXGTA,,RT51RT-AP,,,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-55D60NC-IDNA1AA,55P8M,55P8M,ALW147332F,GLW147332F,V6-PROJECT-ID025,,4A-LD55O5-CSXGTA,08-RT51R01-MA200AA,RT51RT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV479C1-80DX1G,46-YV619C1-80DX1G,NO,,,,,,,
H7-CM24TML-LC215BA,L24D310,24D3100,ALW147331G,GLW147331G,NO,,4A-LD24O5-CM2GTA,,MT53V-AP,,,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-24D31MH-IDNB0AA,L24D310,24D3100,ALW147332G,GLW147332G,Upgrade software,,4A-LD24O5-CM2GTA,08-MT53V01-MA200WA,MT53V-AP,NO,06-526W37-B002X,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,NO,46-YL333B2-30DX3G,NO,NO,,,,,,,
H7-40F6001-LPM001A,L40D3000B,40F6,ALW147331K,GLW147331K,NO,,4A-LD40O5-CM3GTA,,MS36KT-AP,,,08-40F6000-LPM001A,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-40F60JR-IDNA5AA,L40D3000B,40F6,ALW147332K,GLW147332K,Upgrade software,,4A-LD40O5-CM3GTA,08-MS36K01-MA200AA,MS36KT-AP,NO,06-526W37-E002X,08-40F6000-LPM001A,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,NO,46-YL511A1-51DX1G,NO,NO,,,,,,,
H7-50D60NB-IDND1AA,50P8M,50P8M,ALW147841A,GLW147841A,V6-PROJECT-ID133,,4A-LD50O5-CH2GTA,08-RT51H03-MA200AA,RT51HT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-50D6000-LPM003C,4C-LB5007-ZM02J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV410E1-51DX1G,NO,46-YM060B1-80WX0G,,,,,,,
H7-50D6000-LPM003C,50P8M,50P8M,ALW147841B,GLW147841B,NO,,4A-LD50O5-CH2GTA,,RT51HT-AP,,,08-50D6000-LPM003C,4C-LB5007-ZM02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-55D60NC-IDNA1AA,55P8M,55P8M,ALW147842A,GLW147842A,V6-PROJECT-ID025,,4A-LD55O5-CSXGTA,08-RT51R01-MA200AA,RT51RT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV479C1-80DX1G,46-YV619C1-80DX1G,NO,,,,,,,
H7-55D6000-LPM001A,55P8M,55P8M,ALW147842B,GLW147842B,NO,,4A-LD55O5-CSXGTA,,RT51RT-AP,,,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW147232B,GLW147232B,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB320T-HR9C,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW148002A,GLW148002A,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-24D31MH-IDNB1AA,24B5,24D3100,ALW146791B,GLW146791B,Upgrade software,,4A-LD24O5-CM2GTA,08-MT53V01-MA200WA,MT53V-AP,NO,06-526W37-B002X,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,NO,46-YL333B2-30DX3G,NO,NO,,,,,,,
H7-CM24TML-LC215BA,24B5,24D3100,ALW147775B,GLW147775B,NO,,4A-LD24O5-CM2GTA,,MT53V-AP,,,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-24D31MH-IDNB0AA,L24D310,24D3100,ALW147786A,GLW147786A,Upgrade software,,4A-LD24O5-CM2GTA,08-MT53V01-MA200WA,MT53V-AP,NO,06-526W37-B002X,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,NO,46-YL333B2-30DX3G,NO,NO,,,,,,,
H7-CM24TML-LC215BA,L24D310,24D3100,ALW147786B,GLW147786B,NO,,4A-LD24O5-CM2GTA,,MT53V-AP,,,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-50F60NB-IDNC1AA,50A8,50P8,ALW147782A,GLW147782A,V6-PROJECT-ID133,,4A-LD50O5-CH2GTA,08-RT51H03-MA200AA,RT51HT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-50F6000-LPM010D,4C-LB5007-ZM07J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV410E1-51DX1G,NO,46-YM060B1-80WX0G,,,,,,,
H7-50F6000-LPM010D,50A8,50P8,ALW147782B,GLW147782B,NO,,4A-LD50O5-CH2GTA,,RT51HT-AP,,,08-50F6000-LPM010D,4C-LB5007-ZM07J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-40F60LF-IDNF0AA,40A3,40S6500,ALW147712B,GLW147712B,V6-PROJECT-ID144,,4A-LD40O5-CM4GTA,08-RT41K12-MA200AA,RT41KT-AP,NO,06-IRPT45-URC802N,08-40F6000-LPM010A,4C-LB4010-HR04J,NO,07-8192BT-MA1G,NO,NO,NO,NO,NO,46-YL442A1-51DX1G,NO,NO,,,,,,,
H7-40F6000-LPM000A,40A3,40S6500,ALW147712A,GLW147712A,NO,,4A-LD40O5-CM4GTA,,RT41KT-AP,,,08-40F6000-LPM010A,4C-LB4010-HR04J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-40F60LF-IDNE3AA,L40S6800,40S6800,ALW147789A,GLW147789A,V6-PROJECT-ID009,,4A-LD40O5-CM3GTA,08-RT41K12-MA200AA,RT41KT-AP,NO,06-IRPT45-URC802N,08-40F6000-LPM001L,4C-LB4010-HR01J,NO,07-8192BT-MA1G,NO,NO,NO,NO,NO,46-YL431A1-51DX1G,NO,NO,,,,,,,
H7-40F6000-LPM001L,L40S6800,40S6800,ALW147789B,GLW147789B,NO,,4A-LD40O5-CM3GTA,,RT41KT-AP,,,08-40F6000-LPM001L,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-40F60JR-IDNA4AA,40B3,40F6,ALW147780A,GLW147780A,Upgrade software,,4A-LD40O5-CM3GTA,08-MS36K01-MA200AA,MS36KT-AP,NO,06-526W37-E002X,08-40F6000-LPM001A,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,NO,46-YL511A1-51DX1G,NO,NO,,,,,,,
H7-40F6001-LPM001A,40B3,40F6,ALW147780B,GLW147780B,NO,,4A-LD40O5-CM3GTA,,MS36KT-AP,,,08-40F6000-LPM001A,4C-LB4010-HR01J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-43D60ND-IDNA2AA,43P8M,43P8M,ALW147781A,GLW147781A,V6-PROJECT-ID027,,4A-LD43O5-AU6GTA,08-RT51T03-MA200AA,RT51TT-AP,08-L12NWA2-PW210AA,06-IRPT45-CRC802NP,08-43D6000-LPM002C,4C-LB4311-HR02J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YL285A1-60DX1G,46-YL401A1-60DX1G,NO,,,,,,,
H7-43D6000-LPM002C,43P8M,43P8M,ALW147781B,GLW147781B,NO,,4A-LD43O5-AU6GTA,,RT51TT-AP,,,08-43D6000-LPM002C,4C-LB4311-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW147737A,GLW147737A,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNK0AA,L32S6800,32S6800,ALW147737B,GLW147737B,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM018I,4C-LB3205-HR02JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW147737C,GLW147737C,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNK0AA,L32S6800,32S6800,ALW147737D,GLW147737D,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM018I,4C-LB3205-HR02JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW147737E,GLW147737E,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNK0AA,L32S6800,32S6800,ALW147737F,GLW147737F,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM018I,4C-LB3205-HR02JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNF1AA,32A3,32S6500,ALW147777A,GLW147777A,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM010Q,4C-LB3205-YM02J,NO,07-8192BT-MA1G,NO,NO,NO,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6000-LPM010A,32A3,32S6500,ALW147777B,GLW147777B,NO,,4A-LD32O5-CSCGTA,,RT41VT-AP,,,08-32F6000-LPM010Q,4C-LB3205-YM02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60JW-IDNE2AA,32B3,32D3000,ALW147779A,GLW147779A,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM010R,4C-LB3205-YM02J,NO,NO,NO,NO,NO,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6000-LPM010F,32B3,32D3000,ALW147779B,GLW147779B,NO,,4A-LD32O5-CSCGTA,,MS36VT-AP,,,08-32F6000-LPM010R,4C-LB3205-YM02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-50F60NB-IDNC1AA,50A8,50P8,ALW147814A,GLW147814A,V6-PROJECT-ID133,,4A-LD50O5-CH2GTA,08-RT51H03-MA200AA,RT51HT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-50F6000-LPM010D,4C-LB5007-ZM07J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV410E1-51DX1G,NO,46-YM060B1-80WX0G,,,,,,,
H7-50F6000-LPM010D,50A8,50P8,ALW147814B,GLW147814B,NO,,4A-LD50O5-CH2GTA,,RT51HT-AP,,,08-50F6000-LPM010D,4C-LB5007-ZM07J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-50D60NB-IDND1AA,50P8M,50P8M,ALW147816A,GLW147816A,V6-PROJECT-ID133,,4A-LD50O5-CH2GTA,08-RT51H03-MA200AA,RT51HT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-50D6000-LPM003C,4C-LB5007-ZM07J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV410E1-51DX1G,NO,46-YM060B1-80WX0G,,,,,,,
H7-50D6000-LPM003C,50P8M,50P8M,ALW147816B,GLW147816B,NO,,4A-LD50O5-CH2GTA,,RT51HT-AP,,,08-50D6000-LPM003C,4C-LB5007-ZM07J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-55D60NC-IDNA1AA,55P8M,55P8M,ALW147817A,GLW147817A,V6-PROJECT-ID025,,4A-LD55O5-CSXGTA,08-RT51R01-MA200AA,RT51RT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV479C1-80DX1G,46-YV619C1-80DX1G,NO,,,,,,,
H7-55D6000-LPM001A,55P8M,55P8M,ALW147817B,GLW147817B,NO,,4A-LD55O5-CSXGTA,,RT51RT-AP,,,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60LE-IDNF1AA,32A3,32S6500,ALW147800A,GLW147800A,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM010Q,4C-LB3205-YM02J,NO,07-8192BT-MA1G,NO,NO,NO,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6000-LPM010A,32A3,32S6500,ALW147800B,GLW147800B,NO,,4A-LD32O5-CSCGTA,,RT41VT-AP,,,08-32F6000-LPM010Q,4C-LB3205-YM02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW147737G,GLW147737G,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-55D60NC-IDNA1AA,55P8M,55P8M,ALW147784A,GLW147784A,V6-PROJECT-ID025,,4A-LD55O5-CSXGTA,08-RT51R01-MA200AA,RT51RT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV479C1-80DX1G,46-YV619C1-80DX1G,NO,,,,,,,
H7-55D6000-LPM001A,55P8M,55P8M,ALW147784B,GLW147784B,NO,,4A-LD55O5-CSXGTA,,RT51RT-AP,,,08-55D6000-LPM001B,4C-LB5507-HR06J,4C-LB5508-HR06J,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-43D60ND-IDNA2AA,43P8M,43P8M,ALW147805A,GLW147805A,V6-PROJECT-ID027,,4A-LD43O5-AU6GTA,08-RT51T03-MA200AA,RT51TT-AP,08-L12NWA2-PW210AA,06-IRPT45-CRC802NP,08-43D6000-LPM002C,4C-LB4311-HR02J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YL285A1-60DX1G,46-YL401A1-60DX1G,NO,,,,,,,
H7-43D6000-LPM002C,43P8M,43P8M,ALW147805B,GLW147805B,NO,,4A-LD43O5-AU6GTA,,RT51TT-AP,,,08-43D6000-LPM002C,4C-LB4311-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-50D60NB-IDND1AA,50P8M,50P8M,ALW147783A,GLW147783A,V6-PROJECT-ID133,,4A-LD50O5-CH2GTA,08-RT51H03-MA200AA,RT51HT-AP,08-L12NWA2-PW200AA,06-IRPT45-CRC802NP,08-50D6000-LPM003C,4C-LB5007-ZM07J,NO,07-MT7638-MA0G,NO,NO,NO,NO,NO,46-YV410E1-51DX1G,NO,46-YM060B1-80WX0G,,,,,,,
H7-50D6000-LPM003C,50P8M,50P8M,ALW147783B,GLW147783B,NO,,4A-LD50O5-CH2GTA,,RT51HT-AP,,,08-50D6000-LPM003C,4C-LB5007-ZM07J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60JW-IDNE1AA,L32D3000B,32D3000,ALW148981C,GLW148981C,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNK0AA,L32S6800,32S6800,ALW148981D,GLW148981D,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM018I,4C-LB3205-HR02JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNF0AA,32A3,32S6500,ALW148981E,GLW148981E,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM018G,4C-LB3205-HR02JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60JW-IDNE0AA,32B3,32D3000,ALW148981F,GLW148981F,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM018H,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60LE-IDNK0AA,L32S6800,32S6800,ALW148981G,GLW148981G,V6-PROJECT-ID079,,4A-LD32O5-CSCGTA,08-RT41V01-MA200WA,RT41VT-AP,NO,06-IRPT45-URC802N,08-32F6000-LPM018I,4C-LB3205-HR02JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-40F60LF-IDNC4AA,40A3,40S6500,ALW148981H,GLW148981H,V6-PROJECT-ID009,,4A-LD40O5-CM3GTA,08-RT41K12-MA200AA,RT41KT-AP,NO,06-IRPT45-URC802N,08-40F6000-LPM002C,4C-LB4010-HR04JC,NO,07-8192BT-MA1G,NO,NO,NO,NO,,46-YL431A1-51DX1G,NO,NO,,,,,,,
H7-24D31MH-IDNB0AA,L24D310,24D3100,ALW147826A,GLW147826A,Upgrade software,,4A-LD24O5-CM2GTA,08-MT53V01-MA200WA,MT53V-AP,NO,06-526W37-B002X,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,NO,46-YL333B2-30DX3G,NO,NO,,,,,,,
H7-CM24TML-LC215BA,L24D310,24D3100,ALW147826B,GLW147826B,NO,,4A-LD24O5-CM2GTA,,MT53V-AP,,,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-24D31MH-IDNB0AA,L24D310,24D3100,ALW147818A,GLW147818A,Upgrade software,,4A-LD24O5-CM2GTA,08-MT53V01-MA200WA,MT53V-AP,NO,06-526W37-B002X,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,NO,46-YL333B2-30DX3G,NO,NO,,,,,,,
H7-CM24TML-LC215BA,L24D310,24D3100,ALW147818B,GLW147818B,NO,,4A-LD24O5-CM2GTA,,MT53V-AP,,,08-CM24TML-LC215AA,4D-LD24E5-DT6GTACK,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F6NNW-IDNB1AA,32A5,32S65A,ALW147778A,GLW147778A,V6-PROJECT-ID115,,4A-LD32O5-CSCGTA,08-RT41X01-MA200WA,RT41XT-AP,NO,06-IRPT45-URC802N,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,07-8192BT-MA1G,NO,5A-TCH80B-000,5A-TCH80B-010,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F60JW-IDNE2AA,32B3,32D3000,ALW147802A,GLW147802A,Upgrade software,,4A-LD32O5-CSCGTA,08-MS36V05-MA200AA,MS36VT-AP,NO,06-526W37-E002X,08-32F6000-LPM010R,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6000-LPM010F,32B3,32D3000,ALW147802B,GLW147802B,NO,,4A-LD32O5-CSCGTA,,MS36VT-AP,,,08-32F6000-LPM010R,4C-LB3205-HR02JC,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F6N00-LPM002B,32A5,32S65A,ALW147778B,GLW147778B,NO,,4A-LD32O5-CSCGTA,,RT41XT-AP,,,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F60MH-IDNA0AA,L32D310,32D310,ALW147787A,GLW147787A,Upgrade software,,4A-LD32O5-CSCGTA,08-MT53X01-MA200WA,MT53X-AP,NO,06-526W37-B002X,08-32F6000-LPM021B,4C-LB3213-HR02J,NO,NO,NO,NO,NO,NO,NO,46-YL105C1-30DX2G,NO,NO,,,,,,,
H7-32F6000-LPM021A,L32D310,32D310,ALW147787B,GLW147787B,NO,,4A-LD32O5-CSCGTA,,MT53X-AP,,,08-32F6000-LPM021B,4C-LB3213-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F6NNW-IDNB0AA,L32S65A,32S65A,ALW147788A,GLW147788A,V6-PROJECT-ID115,,4A-LD32O5-CSCGTA,08-RT41X01-MA200WA,RT41XT-AP,NO,06-IRPT45-URC802N,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,07-8192BT-MA1G,NO,5A-TCH80B-000,5A-TCH80B-010,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6N00-LPM002B,L32S65A,32S65A,ALW147788B,GLW147788B,NO,,4A-LD32O5-CSCGTA,,RT41XT-AP,,,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F6NNW-IDNB0AA,L32S65A,32S65A,ALW147820A,GLW147820A,V6-PROJECT-ID115,,4A-LD32O5-CSCGTA,08-RT41X01-MA200WA,RT41XT-AP,NO,06-IRPT45-URC802N,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,07-8192BT-MA1G,NO,5A-TCH80B-000,5A-TCH80B-010,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6N00-LPM002B,L32S65A,32S65A,ALW147820B,GLW147820B,NO,,4A-LD32O5-CSCGTA,,RT41XT-AP,,,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
H7-32F6NNW-IDNB1AA,32A5,32S65A,ALW147801A,GLW147801A,V6-PROJECT-ID115,,4A-LD32O5-CSCGTA,08-RT41X01-MA200WA,RT41XT-AP,NO,06-IRPT45-URC802N,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,07-8192BT-MA1G,NO,5A-TCH80B-000,5A-TCH80B-010,NO,NO,46-YL110A1-30WX2G,NO,NO,,,,,,,
H7-32F6N00-LPM002B,32A5,32S65A,ALW147801B,GLW147801B,NO,,4A-LD32O5-CSCGTA,,RT41XT-AP,,,08-32F6N00-LPM002B,4C-LB3213-HR02J,NO,NO,NO,NO,NO,NO,,NO,NO,NO,,,,,,,
